id_seq,sentenced,choice_str
1_0_R,Some models are managers and All models are clerks,"['All managers are clerks', 'All clerks are managers', 'Some managers are clerks', 'Some clerks are managers', 'Some managers are not clerks', 'Some clerks are not managers', 'No managers are clerks', 'No clerks are managers', 'NVC']"
1_1_R,No divers are carpenters and All linguists are carpenters,"['All divers are linguists', 'All linguists are divers', 'Some divers are linguists', 'Some linguists are divers', 'Some divers are not linguists', 'Some linguists are not divers', 'No divers are linguists', 'No linguists are divers', 'NVC']"
1_2_R,All therapists are climbers and Some skaters are therapists,"['All climbers are skaters', 'All skaters are climbers', 'Some climbers are skaters', 'Some skaters are climbers', 'Some climbers are not skaters', 'Some skaters are not climbers', 'No climbers are skaters', 'No skaters are climbers', 'NVC']"
1_3_R,All bankers are golfers and All golfers are teachers,"['All bankers are teachers', 'All teachers are bankers', 'Some bankers are teachers', 'Some teachers are bankers', 'Some bankers are not teachers', 'Some teachers are not bankers', 'No bankers are teachers', 'No teachers are bankers', 'NVC']"
1_4_R,Some boxers are not opticians and All boxers are actuaries,"['All opticians are actuaries', 'All actuaries are opticians', 'Some opticians are actuaries', 'Some actuaries are opticians', 'Some opticians are not actuaries', 'Some actuaries are not opticians', 'No opticians are actuaries', 'No actuaries are opticians', 'NVC']"
1_5_R,Some chemists are sailors and Some potters are not chemists,"['All sailors are potters', 'All potters are sailors', 'Some sailors are potters', 'Some potters are sailors', 'Some sailors are not potters', 'Some potters are not sailors', 'No sailors are potters', 'No potters are sailors', 'NVC']"
1_6_R,All gamblers are sculptors and Some bakers are not sculptors,"['All gamblers are bakers', 'All bakers are gamblers', 'Some gamblers are bakers', 'Some bakers are gamblers', 'Some gamblers are not bakers', 'Some bakers are not gamblers', 'No gamblers are bakers', 'No bakers are gamblers', 'NVC']"
1_7_R,Some miners are poets and All skaters are miners,"['All poets are skaters', 'All skaters are poets', 'Some poets are skaters', 'Some skaters are poets', 'Some poets are not skaters', 'Some skaters are not poets', 'No poets are skaters', 'No skaters are poets', 'NVC']"
1_8_R,All investors are barbers and No jugglers are barbers,"['All investors are jugglers', 'All jugglers are investors', 'Some investors are jugglers', 'Some jugglers are investors', 'Some investors are not jugglers', 'Some jugglers are not investors', 'No investors are jugglers', 'No jugglers are investors', 'NVC']"
1_9_R,No writers are hikers and Some drivers are hikers,"['All writers are drivers', 'All drivers are writers', 'Some writers are drivers', 'Some drivers are writers', 'Some writers are not drivers', 'Some drivers are not writers', 'No writers are drivers', 'No drivers are writers', 'NVC']"
1_10_R,No cleaners are painters and Some auditors are cleaners,"['All painters are auditors', 'All auditors are painters', 'Some painters are auditors', 'Some auditors are painters', 'Some painters are not auditors', 'Some auditors are not painters', 'No painters are auditors', 'No auditors are painters', 'NVC']"
1_11_R,No lifeguards are dentists and Some lifeguards are not plumbers,"['All dentists are plumbers', 'All plumbers are dentists', 'Some dentists are plumbers', 'Some plumbers are dentists', 'Some dentists are not plumbers', 'Some plumbers are not dentists', 'No dentists are plumbers', 'No plumbers are dentists', 'NVC']"
1_12_R,No assistants are farmers and No farmers are scholars,"['All assistants are scholars', 'All scholars are assistants', 'Some assistants are scholars', 'Some scholars are assistants', 'Some assistants are not scholars', 'Some scholars are not assistants', 'No assistants are scholars', 'No scholars are assistants', 'NVC']"
1_13_R,No drillers are actors and All actors are nurses,"['All drillers are nurses', 'All nurses are drillers', 'Some drillers are nurses', 'Some nurses are drillers', 'Some drillers are not nurses', 'Some nurses are not drillers', 'No drillers are nurses', 'No nurses are drillers', 'NVC']"
1_14_R,Some pilots are not singers and Some singers are not tailors,"['All pilots are tailors', 'All tailors are pilots', 'Some pilots are tailors', 'Some tailors are pilots', 'Some pilots are not tailors', 'Some tailors are not pilots', 'No pilots are tailors', 'No tailors are pilots', 'NVC']"
1_15_R,No surfers are artists and No surfers are planners,"['All artists are planners', 'All planners are artists', 'Some artists are planners', 'Some planners are artists', 'Some artists are not planners', 'Some planners are not artists', 'No artists are planners', 'No planners are artists', 'NVC']"
1_16_R,Some typists are not dancers and All boxers are typists,"['All dancers are boxers', 'All boxers are dancers', 'Some dancers are boxers', 'Some boxers are dancers', 'Some dancers are not boxers', 'Some boxers are not dancers', 'No dancers are boxers', 'No boxers are dancers', 'NVC']"
1_17_R,Some engineers are not fencers and Some campers are not fencers,"['All engineers are campers', 'All campers are engineers', 'Some engineers are campers', 'Some campers are engineers', 'Some engineers are not campers', 'Some campers are not engineers', 'No engineers are campers', 'No campers are engineers', 'NVC']"
1_18_R,Some climbers are not tellers and No doctors are climbers,"['All tellers are doctors', 'All doctors are tellers', 'Some tellers are doctors', 'Some doctors are tellers', 'Some tellers are not doctors', 'Some doctors are not tellers', 'No tellers are doctors', 'No doctors are tellers', 'NVC']"
1_19_R,Some joggers are not counselors and No joggers are riders,"['All counselors are riders', 'All riders are counselors', 'Some counselors are riders', 'Some riders are counselors', 'Some counselors are not riders', 'Some riders are not counselors', 'No counselors are riders', 'No riders are counselors', 'NVC']"
1_20_R,No runners are chefs and No scientists are runners,"['All chefs are scientists', 'All scientists are chefs', 'Some chefs are scientists', 'Some scientists are chefs', 'Some chefs are not scientists', 'Some scientists are not chefs', 'No chefs are scientists', 'No scientists are chefs', 'NVC']"
1_21_R,Some hunters are lawyers and No athletes are lawyers,"['All hunters are athletes', 'All athletes are hunters', 'Some hunters are athletes', 'Some athletes are hunters', 'Some hunters are not athletes', 'Some athletes are not hunters', 'No hunters are athletes', 'No athletes are hunters', 'NVC']"
1_22_R,Some mayors are cooks and Some swimmers are mayors,"['All cooks are swimmers', 'All swimmers are cooks', 'Some cooks are swimmers', 'Some swimmers are cooks', 'Some cooks are not swimmers', 'Some swimmers are not cooks', 'No cooks are swimmers', 'No swimmers are cooks', 'NVC']"
1_23_R,Some poets are waiters and All cashiers are waiters,"['All poets are cashiers', 'All cashiers are poets', 'Some poets are cashiers', 'Some cashiers are poets', 'Some poets are not cashiers', 'Some cashiers are not poets', 'No poets are cashiers', 'No cashiers are poets', 'NVC']"
1_24_R,All agents are secretaries and All brokers are agents,"['All secretaries are brokers', 'All brokers are secretaries', 'Some secretaries are brokers', 'Some brokers are secretaries', 'Some secretaries are not brokers', 'Some brokers are not secretaries', 'No secretaries are brokers', 'No brokers are secretaries', 'NVC']"
1_25_R,Some students are not buyers and All cyclists are buyers,"['All students are cyclists', 'All cyclists are students', 'Some students are cyclists', 'Some cyclists are students', 'Some students are not cyclists', 'Some cyclists are not students', 'No students are cyclists', 'No cyclists are students', 'NVC']"
1_26_R,Some workers are not actors and Some painters are not workers,"['All actors are painters', 'All painters are actors', 'Some actors are painters', 'Some painters are actors', 'Some actors are not painters', 'Some painters are not actors', 'No actors are painters', 'No painters are actors', 'NVC']"
1_27_R,Some designers are not architects and Some designers are trainers,"['All architects are trainers', 'All trainers are architects', 'Some architects are trainers', 'Some trainers are architects', 'Some architects are not trainers', 'Some trainers are not architects', 'No architects are trainers', 'No trainers are architects', 'NVC']"
1_28_R,All brewers are judges and Some brewers are porters,"['All judges are porters', 'All porters are judges', 'Some judges are porters', 'Some porters are judges', 'Some judges are not porters', 'Some porters are not judges', 'No judges are porters', 'No porters are judges', 'NVC']"
1_29_R,Some novelists are not travelers and Some novelists are not analysts,"['All travelers are analysts', 'All analysts are travelers', 'Some travelers are analysts', 'Some analysts are travelers', 'Some travelers are not analysts', 'Some analysts are not travelers', 'No travelers are analysts', 'No analysts are travelers', 'NVC']"
1_30_R,Some tutors are butchers and No tutors are packers,"['All butchers are packers', 'All packers are butchers', 'Some butchers are packers', 'Some packers are butchers', 'Some butchers are not packers', 'Some packers are not butchers', 'No butchers are packers', 'No packers are butchers', 'NVC']"
1_31_R,All editors are florists and All editors are soldiers,"['All florists are soldiers', 'All soldiers are florists', 'Some florists are soldiers', 'Some soldiers are florists', 'Some florists are not soldiers', 'Some soldiers are not florists', 'No florists are soldiers', 'No soldiers are florists', 'NVC']"
1_32_R,All therapists are climbers and No therapists are skaters,"['All climbers are skaters', 'All skaters are climbers', 'Some climbers are skaters', 'Some skaters are climbers', 'Some climbers are not skaters', 'Some skaters are not climbers', 'No climbers are skaters', 'No skaters are climbers', 'NVC']"
1_33_R,No farmers are scholars and Some assistants are not scholars,"['All farmers are assistants', 'All assistants are farmers', 'Some farmers are assistants', 'Some assistants are farmers', 'Some farmers are not assistants', 'Some assistants are not farmers', 'No farmers are assistants', 'No assistants are farmers', 'NVC']"
1_34_R,All drillers are actors and Some nurses are not drillers,"['All actors are nurses', 'All nurses are actors', 'Some actors are nurses', 'Some nurses are actors', 'Some actors are not nurses', 'Some nurses are not actors', 'No actors are nurses', 'No nurses are actors', 'NVC']"
