id_seq,sentenced,choice_str,choice_union_pred
1_0,Some models are managers and All models are clerks,"['All managers are clerks', 'All clerks are managers', 'Some managers are clerks', 'Some clerks are managers', 'Some managers are not clerks', 'Some clerks are not managers', 'No managers are clerks', 'No clerks are managers', 'NVC']","[14.251585304737091, 0.19424398196861148, 45.18740475177765, 4.417906329035759, 2.121257595717907, 7.138784974813461, 3.155846521258354, 3.1908318400382996, -1]"
1_1,No divers are carpenters and All linguists are carpenters,"['All divers are linguists', 'All linguists are divers', 'Some divers are linguists', 'Some linguists are divers', 'Some divers are not linguists', 'Some linguists are not divers', 'No divers are linguists', 'No linguists are divers', 'NVC']","[0.24643968790769577, 0.11942909331992269, 1.027045864611864, 1.2304025702178478, 18.077757954597473, 2.9232773929834366, 51.373088359832764, 94.11684274673462, -1]"
1_2,All therapists are climbers and Some skaters are therapists,"['All climbers are skaters', 'All skaters are climbers', 'Some climbers are skaters', 'Some skaters are climbers', 'Some climbers are not skaters', 'Some skaters are not climbers', 'No climbers are skaters', 'No skaters are climbers', 'NVC']","[0.06994804134592414, 0.05158403655514121, 44.77007985115051, 7.659291476011276, 3.7870198488235474, 4.193909838795662, 0.1057119807228446, 0.061991874827072024, -1]"
1_3,All bankers are golfers and All golfers are teachers,"['All bankers are teachers', 'All teachers are bankers', 'Some bankers are teachers', 'Some teachers are bankers', 'Some bankers are not teachers', 'Some teachers are not bankers', 'No bankers are teachers', 'No teachers are bankers', 'NVC']","[0.49033062532544136, 0.5765541922301054, 0.5684920586645603, 1.2566995806992054, 1.9267629832029343, 2.2612683475017548, 0.34034678246825933, 0.29649550560861826, -1]"
1_4,Some boxers are not opticians and All boxers are actuaries,"['All opticians are actuaries', 'All actuaries are opticians', 'Some opticians are actuaries', 'Some actuaries are opticians', 'Some opticians are not actuaries', 'Some actuaries are not opticians', 'No opticians are actuaries', 'No actuaries are opticians', 'NVC']","[0.6480567622929811, 0.11011116439476609, 1.0229899547994137, 0.6788976956158876, 33.41182768344879, 96.45630121231079, 6.836560368537903, 3.390168771147728, -1]"
1_5,Some chemists are sailors and Some potters are not chemists,"['All sailors are potters', 'All potters are sailors', 'Some sailors are potters', 'Some potters are sailors', 'Some sailors are not potters', 'Some potters are not sailors', 'No sailors are potters', 'No potters are sailors', 'NVC']","[0.020299412426538765, 0.014110827760305256, 23.360705375671387, 1.887986995279789, 18.931742012500763, 93.15152764320374, 0.31157589983195066, 0.33889294136315584, -1]"
1_6,All gamblers are sculptors and Some bakers are not sculptors,"['All gamblers are bakers', 'All bakers are gamblers', 'Some gamblers are bakers', 'Some bakers are gamblers', 'Some gamblers are not bakers', 'Some bakers are not gamblers', 'No gamblers are bakers', 'No bakers are gamblers', 'NVC']","[0.025691627524793148, 0.10458106407895684, 4.516975209116936, 10.523940622806549, 39.24102187156677, 91.44122004508972, 0.6287580356001854, 1.0943690314888954, -1]"
1_7,Some miners are poets and All skaters are miners,"['All poets are skaters', 'All skaters are poets', 'Some poets are skaters', 'Some skaters are poets', 'Some poets are not skaters', 'Some skaters are not poets', 'No poets are skaters', 'No skaters are poets', 'NVC']","[0.03514894924592227, 0.04826327494811267, 0.4120444878935814, 0.4507126286625862, 23.571114242076874, 41.7539119720459, 21.479637920856476, 84.72620248794556, -1]"
1_8,All investors are barbers and No jugglers are barbers,"['All investors are jugglers', 'All jugglers are investors', 'Some investors are jugglers', 'Some jugglers are investors', 'Some investors are not jugglers', 'Some jugglers are not investors', 'No investors are jugglers', 'No jugglers are investors', 'NVC']","[0.04954027244821191, 0.14365476090461016, 15.199024975299835, 9.709570556879044, 15.314777195453644, 83.08788537979126, 99.3470311164856, 77.20597982406616, -1]"
1_9,No writers are hikers and Some drivers are hikers,"['All writers are drivers', 'All drivers are writers', 'Some writers are drivers', 'Some drivers are writers', 'Some writers are not drivers', 'Some drivers are not writers', 'No writers are drivers', 'No drivers are writers', 'NVC']","[0.9320455603301525, 0.13560199877247214, 14.796097576618195, 0.352495233528316, 50.08049011230469, 49.92845058441162, 7.93386697769165, 12.82140463590622, -1]"
1_10,No cleaners are painters and Some auditors are cleaners,"['All painters are auditors', 'All auditors are painters', 'Some painters are auditors', 'Some auditors are painters', 'Some painters are not auditors', 'Some auditors are not painters', 'No painters are auditors', 'No auditors are painters', 'NVC']","[0.039485818706452847, 0.040663068648427725, 3.163774684071541, 0.7002956699579954, 69.5302665233612, 98.54884743690491, 8.856330811977386, 52.65586972236633, -1]"
1_11,No lifeguards are dentists and Some lifeguards are not plumbers,"['All dentists are plumbers', 'All plumbers are dentists', 'Some dentists are plumbers', 'Some plumbers are dentists', 'Some dentists are not plumbers', 'Some plumbers are not dentists', 'No dentists are plumbers', 'No plumbers are dentists', 'NVC']","[0.5025721155107021, 0.1738957827910781, 14.788612723350525, 22.741669416427612, 66.16491675376892, 83.16929340362549, 95.77599763870239, 84.64000225067139, -1]"
1_12,No assistants are farmers and No farmers are scholars,"['All assistants are scholars', 'All scholars are assistants', 'Some assistants are scholars', 'Some scholars are assistants', 'Some assistants are not scholars', 'Some scholars are not assistants', 'No assistants are scholars', 'No scholars are assistants', 'NVC']","[0.6308796349912882, 2.0698657259345055, 5.7384684681892395, 25.501245260238647, 52.23837494850159, 21.30758762359619, 98.30854535102844, 98.19597005844116, -1]"
1_13,No drillers are actors and All actors are nurses,"['All drillers are nurses', 'All nurses are drillers', 'Some drillers are nurses', 'Some nurses are drillers', 'Some drillers are not nurses', 'Some nurses are not drillers', 'No drillers are nurses', 'No nurses are drillers', 'NVC']","[4.996152222156525, 0.4452228546142578, 11.952316015958786, 3.1235918402671814, 45.74420750141144, 17.674288153648376, 10.347551107406616, 73.33582043647766, -1]"
