sentenced,id_seq
Some models are managers and All models are clerks,1_0_R
No divers are carpenters and All linguists are carpenters,1_1_R
All therapists are climbers and Some skaters are therapists,1_2_R
All bankers are golfers and All golfers are teachers,1_3_R
Some boxers are not opticians and All boxers are actuaries,1_4_R
Some chemists are sailors and Some potters are not chemists,1_5_R
All gamblers are sculptors and Some bakers are not sculptors,1_6_R
Some miners are poets and All skaters are miners,1_7_R
All investors are barbers and No jugglers are barbers,1_8_R
No writers are hikers and Some drivers are hikers,1_9_R
No cleaners are painters and Some auditors are cleaners,1_10_R
No lifeguards are dentists and Some lifeguards are not plumbers,1_11_R
No assistants are farmers and No farmers are scholars,1_12_R
No drillers are actors and All actors are nurses,1_13_R
Some pilots are not singers and Some singers are not tailors,1_14_R
No surfers are artists and No surfers are planners,1_15_R
Some typists are not dancers and All boxers are typists,1_16_R
Some engineers are not fencers and Some campers are not fencers,1_17_R
Some climbers are not tellers and No doctors are climbers,1_18_R
Some joggers are not counselors and No joggers are riders,1_19_R
No runners are chefs and No scientists are runners,1_20_R
Some hunters are lawyers and No athletes are lawyers,1_21_R
Some mayors are cooks and Some swimmers are mayors,1_22_R
Some poets are waiters and All cashiers are waiters,1_23_R
All agents are secretaries and All brokers are agents,1_24_R
Some students are not buyers and All cyclists are buyers,1_25_R
Some workers are not actors and Some painters are not workers,1_26_R
Some designers are not architects and Some designers are trainers,1_27_R
All brewers are judges and Some brewers are porters,1_28_R
Some novelists are not travelers and Some novelists are not analysts,1_29_R
Some tutors are butchers and No tutors are packers,1_30_R
All editors are florists and All editors are soldiers,1_31_R
All therapists are climbers and No therapists are skaters,1_32_R
No farmers are scholars and Some assistants are not scholars,1_33_R
All drillers are actors and Some nurses are not drillers,1_34_R
Some planners are artists and All artists are surfers,1_35_R
Some workers are actors and Some painters are not actors,1_36_R
No runners are scientists and Some scientists are not chefs,1_37_R
Some novelists are travelers and Some travelers are analysts,1_38_R
Some doctors are not tellers and No tellers are climbers,1_39_R
All poets are cashiers and All waiters are cashiers,1_40_R
All sculptors are bakers and No bakers are gamblers,1_41_R
No managers are clerks and Some clerks are models,1_42_R
All brokers are secretaries and Some secretaries are agents,1_43_R
Some dancers are boxers and Some dancers are typists,1_44_R
All drivers are writers and Some hikers are writers,1_45_R
All divers are carpenters and Some carpenters are not linguists,1_46_R
All painters are cleaners and Some painters are not auditors,1_47_R
No florists are editors and All soldiers are florists,1_48_R
Some swimmers are mayors and No mayors are cooks,1_49_R
Some architects are designers and Some designers are not trainers,1_50_R
All tutors are butchers and No packers are tutors,1_51_R
Some singers are not tailors and Some pilots are tailors,1_52_R
Some opticians are actuaries and Some boxers are actuaries,1_53_R
Some sailors are chemists and No potters are sailors,1_54_R
Some investors are not barbers and All barbers are jugglers,1_55_R
Some judges are not brewers and Some porters are judges,1_56_R
Some hunters are athletes and Some hunters are not lawyers,1_57_R
No buyers are cyclists and All buyers are students,1_58_R
No poets are miners and Some poets are skaters,1_59_R
Some campers are not engineers and Some engineers are fencers,1_60_R
No bankers are teachers and No golfers are teachers,1_61_R
No counselors are joggers and Some riders are not counselors,1_62_R
Some lifeguards are not dentists and No plumbers are dentists,1_63_R
Some cooks are mayors and All cooks are swimmers,2_0_R
No painters are auditors and All cleaners are auditors,2_1_R
All scientists are runners and All runners are chefs,2_2_R
All skaters are climbers and Some therapists are skaters,2_3_R
All hunters are athletes and All lawyers are athletes,2_4_R
Some judges are brewers and Some brewers are not porters,2_5_R
All pilots are tailors and Some tailors are singers,2_6_R
Some campers are not engineers and Some engineers are not fencers,2_7_R
No lifeguards are dentists and No plumbers are lifeguards,2_8_R
No travelers are analysts and Some novelists are not analysts,2_9_R
Some teachers are not golfers and Some bankers are golfers,2_10_R
Some typists are not boxers and Some dancers are not boxers,2_11_R
All artists are planners and All artists are surfers,2_12_R
All hikers are drivers and Some writers are not hikers,2_13_R
All brokers are agents and No agents are secretaries,2_14_R
All linguists are carpenters and No divers are carpenters,2_15_R
No farmers are scholars and No assistants are scholars,2_16_R
All opticians are boxers and All actuaries are opticians,2_17_R
Some poets are skaters and Some poets are not miners,2_18_R
All editors are soldiers and Some soldiers are not florists,2_19_R
Some sailors are chemists and All potters are sailors,2_20_R
No barbers are investors and Some barbers are jugglers,2_21_R
Some cyclists are not buyers and No buyers are students,2_22_R
Some actors are not workers and Some painters are not actors,2_23_R
Some cashiers are not waiters and Some poets are cashiers,2_24_R
Some clerks are managers and No managers are models,2_25_R
No joggers are counselors and Some riders are joggers,2_26_R
Some actors are not nurses and No drillers are nurses,2_27_R
No bakers are sculptors and All sculptors are gamblers,2_28_R
No designers are trainers and Some architects are trainers,2_29_R
Some packers are tutors and Some butchers are not tutors,2_30_R
No climbers are doctors and Some doctors are not tellers,2_31_R
Some soldiers are not florists and All soldiers are editors,2_32_R
All plumbers are dentists and No plumbers are lifeguards,2_33_R
Some judges are not brewers and No porters are judges,2_34_R
All doctors are tellers and Some climbers are not tellers,2_35_R
No secretaries are brokers and All agents are secretaries,2_36_R
All divers are carpenters and Some linguists are carpenters,2_37_R
Some counselors are not joggers and No counselors are riders,2_38_R
Some actors are nurses and Some nurses are drillers,2_39_R
No designers are architects and All designers are trainers,2_40_R
Some therapists are not climbers and Some therapists are skaters,2_41_R
Some poets are miners and All skaters are miners,2_42_R
No packers are tutors and No tutors are butchers,2_43_R
All workers are actors and Some workers are painters,2_44_R
Some jugglers are barbers and Some investors are not jugglers,2_45_R
No farmers are scholars and Some farmers are not assistants,2_46_R
All students are buyers and Some students are not cyclists,2_47_R
No hikers are writers and Some drivers are not hikers,2_48_R
Some engineers are fencers and Some engineers are campers,2_49_R
Some dancers are typists and Some boxers are typists,2_50_R
Some athletes are not hunters and Some athletes are not lawyers,2_51_R
No golfers are teachers and No golfers are bankers,2_52_R
All boxers are actuaries and No opticians are boxers,2_53_R
Some chemists are potters and Some sailors are chemists,2_54_R
Some bakers are not sculptors and Some sculptors are gamblers,2_55_R
Some chefs are runners and No scientists are runners,2_56_R
No clerks are models and Some models are managers,2_57_R
Some auditors are cleaners and No painters are auditors,2_58_R
Some waiters are poets and All poets are cashiers,2_59_R
Some surfers are not artists and All planners are artists,2_60_R
Some cooks are not mayors and All swimmers are cooks,2_61_R
Some pilots are singers and No pilots are tailors,2_62_R
Some novelists are not travelers and All travelers are analysts,2_63_R
Some tutors are packers and All tutors are butchers,3_0_R
All auditors are painters and Some cleaners are auditors,3_1_R
No dancers are typists and All boxers are typists,3_2_R
All workers are painters and All painters are actors,3_3_R
No lifeguards are dentists and Some lifeguards are plumbers,3_4_R
No hikers are drivers and Some writers are not drivers,3_5_R
Some investors are not jugglers and Some jugglers are not barbers,3_6_R
Some climbers are not skaters and Some therapists are not climbers,3_7_R
All drillers are nurses and All drillers are actors,3_8_R
Some poets are not miners and All poets are skaters,3_9_R
Some bankers are teachers and Some bankers are not golfers,3_10_R
All waiters are poets and No cashiers are poets,3_11_R
Some managers are models and Some clerks are not models,3_12_R
No brokers are agents and Some secretaries are agents,3_13_R
No sailors are potters and No chemists are potters,3_14_R
Some chefs are scientists and Some runners are chefs,3_15_R
Some actuaries are not opticians and No boxers are actuaries,3_16_R
No sculptors are bakers and Some bakers are not gamblers,3_17_R
All campers are fencers and Some campers are not engineers,3_18_R
Some surfers are not planners and Some planners are artists,3_19_R
Some students are cyclists and Some buyers are not students,3_20_R
Some soldiers are editors and No florists are soldiers,3_21_R
No tellers are doctors and No doctors are climbers,3_22_R
Some tailors are pilots and No tailors are singers,3_23_R
No joggers are counselors and Some riders are not joggers,3_24_R
No farmers are assistants and All scholars are farmers,3_25_R
All carpenters are linguists and Some divers are not linguists,3_26_R
All swimmers are mayors and Some mayors are cooks,3_27_R
Some designers are not architects and All trainers are architects,3_28_R
No brewers are porters and Some porters are judges,3_29_R
All athletes are lawyers and Some athletes are hunters,3_30_R
Some analysts are travelers and All novelists are travelers,3_31_R
Some skaters are miners and Some skaters are poets,3_32_R
Some poets are waiters and Some waiters are not cashiers,3_33_R
All writers are hikers and No writers are drivers,3_34_R
All butchers are tutors and Some packers are tutors,3_35_R
Some climbers are not tellers and No doctors are tellers,3_36_R
Some students are not cyclists and Some buyers are cyclists,3_37_R
No teachers are bankers and No golfers are teachers,3_38_R
All judges are brewers and Some brewers are not porters,3_39_R
Some skaters are not climbers and All climbers are therapists,3_40_R
No singers are pilots and All pilots are tailors,3_41_R
Some clerks are managers and Some models are managers,3_42_R
Some planners are not artists and Some planners are not surfers,3_43_R
No linguists are carpenters and Some divers are linguists,3_44_R
Some gamblers are sculptors and Some sculptors are bakers,3_45_R
No soldiers are editors and All soldiers are florists,3_46_R
No trainers are designers and No trainers are architects,3_47_R
Some nurses are not actors and All drillers are nurses,3_48_R
Some cleaners are not auditors and No cleaners are painters,3_49_R
All sailors are chemists and All potters are chemists,3_50_R
Some lifeguards are dentists and No plumbers are dentists,3_51_R
Some travelers are novelists and All analysts are travelers,3_52_R
Some riders are not counselors and Some joggers are not counselors,3_53_R
All scientists are runners and No chefs are scientists,3_54_R
Some hunters are lawyers and No lawyers are athletes,3_55_R
All cooks are mayors and Some swimmers are not cooks,3_56_R
Some engineers are not fencers and Some campers are engineers,3_57_R
Some actors are not painters and Some actors are workers,3_58_R
Some opticians are not boxers and No boxers are actuaries,3_59_R
All agents are secretaries and No secretaries are brokers,3_60_R
Some investors are barbers and All barbers are jugglers,3_61_R
No boxers are dancers and Some boxers are not typists,3_62_R
All farmers are scholars and All assistants are farmers,3_63_R
All chemists are sailors and Some potters are chemists,4_0_R
No joggers are counselors and All riders are counselors,4_1_R
