id_seq,sentenced,choice_str,choice_pred,choice_union_pred
1_0,Some models are managers and All models are clerks,"['All managers are clerks', 'All clerks are managers', 'Some managers are clerks', 'Some clerks are managers', 'Some managers are not clerks', 'Some clerks are not managers', 'No managers are clerks', 'No clerks are managers', 'NVC']","[0.9999970197677612, 0.9999970197677612, 0.9999971389770508, 0.9999971389770508, 0.9999970197677612, 0.9999970197677612, 0.999996542930603, 0.9999966621398926, -1]","[0.9999969005584717, 0.9999970197677612, 0.9999970197677612, 0.9999970197677612, 0.9999970197677612, 0.9999971389770508, 0.9999969005584717, 0.9999969005584717, -1]"
1_1,No divers are carpenters and All linguists are carpenters,"['All divers are linguists', 'All linguists are divers', 'Some divers are linguists', 'Some linguists are divers', 'Some divers are not linguists', 'Some linguists are not divers', 'No divers are linguists', 'No linguists are divers', 'NVC']","[0.9999972581863403, 0.9999972581863403, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.9999970197677612, 0.9999972581863403, 0.9999971389770508, -1]","[0.9999971389770508, 0.9999972581863403, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, -1]"
1_2,All therapists are climbers and Some skaters are therapists,"['All climbers are skaters', 'All skaters are climbers', 'Some climbers are skaters', 'Some skaters are climbers', 'Some climbers are not skaters', 'Some skaters are not climbers', 'No climbers are skaters', 'No skaters are climbers', 'NVC']","[0.9999970197677612, 0.9999970197677612, 0.9999972581863403, 0.9999973773956299, 0.9999971389770508, 0.9999971389770508, 0.9999966621398926, 0.9999967813491821, -1]","[0.9999970197677612, 0.9999967813491821, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, 0.9999969005584717, 0.9999970197677612, -1]"
1_3,All bankers are golfers and All golfers are teachers,"['All bankers are teachers', 'All teachers are bankers', 'Some bankers are teachers', 'Some teachers are bankers', 'Some bankers are not teachers', 'Some teachers are not bankers', 'No bankers are teachers', 'No teachers are bankers', 'NVC']","[0.9999972581863403, 0.9999972581863403, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999969005584717, 0.9999970197677612, 0.9999970197677612, -1]","[0.9999972581863403, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999974966049194, 0.9999972581863403, 0.9999973773956299, -1]"
1_4,Some boxers are not opticians and All boxers are actuaries,"['All opticians are actuaries', 'All actuaries are opticians', 'Some opticians are actuaries', 'Some actuaries are opticians', 'Some opticians are not actuaries', 'Some actuaries are not opticians', 'No opticians are actuaries', 'No actuaries are opticians', 'NVC']","[0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999974966049194, 0.9999974966049194, 0.9999973773956299, 0.9999972581863403, -1]","[0.9999974966049194, 0.9999973773956299, 0.9999974966049194, 0.9999973773956299, 0.999997615814209, 0.9999974966049194, 0.9999974966049194, 0.9999973773956299, -1]"
1_5,Some chemists are sailors and Some potters are not chemists,"['All sailors are potters', 'All potters are sailors', 'Some sailors are potters', 'Some potters are sailors', 'Some sailors are not potters', 'Some potters are not sailors', 'No sailors are potters', 'No potters are sailors', 'NVC']","[0.9999971389770508, 0.9999970197677612, 0.9999973773956299, 0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999970197677612, 0.9999969005584717, -1]","[0.9999971389770508, 0.9999971389770508, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, 0.9999971389770508, -1]"
1_6,All gamblers are sculptors and Some bakers are not sculptors,"['All gamblers are bakers', 'All bakers are gamblers', 'Some gamblers are bakers', 'Some bakers are gamblers', 'Some gamblers are not bakers', 'Some bakers are not gamblers', 'No gamblers are bakers', 'No bakers are gamblers', 'NVC']","[0.9999969005584717, 0.9999970197677612, 0.9999969005584717, 0.9999970197677612, 0.9999970197677612, 0.9999971389770508, 0.9999969005584717, 0.9999969005584717, -1]","[0.9999970197677612, 0.9999970197677612, 0.9999971389770508, 0.9999971389770508, 0.9999972581863403, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, -1]"
1_7,Some miners are poets and All skaters are miners,"['All poets are skaters', 'All skaters are poets', 'Some poets are skaters', 'Some skaters are poets', 'Some poets are not skaters', 'Some skaters are not poets', 'No poets are skaters', 'No skaters are poets', 'NVC']","[0.9999969005584717, 0.9999969005584717, 0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, 0.9999966621398926, 0.9999966621398926, -1]","[0.9999966621398926, 0.9999967813491821, 0.9999971389770508, 0.9999972581863403, 0.9999972581863403, 0.9999973773956299, 0.9999967813491821, 0.9999969005584717, -1]"
1_8,All investors are barbers and No jugglers are barbers,"['All investors are jugglers', 'All jugglers are investors', 'Some investors are jugglers', 'Some jugglers are investors', 'Some investors are not jugglers', 'Some jugglers are not investors', 'No investors are jugglers', 'No jugglers are investors', 'NVC']","[0.9999972581863403, 0.9999972581863403, 0.9999971389770508, 0.9999972581863403, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, -1]","[0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999974966049194, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, -1]"
1_9,No writers are hikers and Some drivers are hikers,"['All writers are drivers', 'All drivers are writers', 'Some writers are drivers', 'Some drivers are writers', 'Some writers are not drivers', 'Some drivers are not writers', 'No writers are drivers', 'No drivers are writers', 'NVC']","[0.9999957084655762, 0.9999955892562866, 0.9999964237213135, 0.999996542930603, 0.9999963045120239, 0.9999964237213135, 0.9999961853027344, 0.9999960660934448, -1]","[0.9999964237213135, 0.999996542930603, 0.9999967813491821, 0.9999969005584717, 0.9999969005584717, 0.9999970197677612, 0.999996542930603, 0.999996542930603, -1]"
