task_form,best_bert_00_index,bert_00success,best_mnli_00_index,mnli_00success,sentenced
IA4,2,1,2,1,Some models are managers and All models are clerks
EA3,0,0,7,1,No divers are carpenters and All linguists are carpenters
AI2,3,1,2,1,All therapists are climbers and Some skaters are therapists
AA1,0,1,4,0,All bankers are golfers and All golfers are teachers
OA4,4,0,5,1,Some boxers are not opticians and All boxers are actuaries
IO2,2,0,5,0,Some chemists are sailors and Some potters are not chemists
AO3,5,1,5,1,All gamblers are sculptors and Some bakers are not sculptors
IA2,3,0,7,0,Some miners are poets and All skaters are miners
AE3,0,0,6,1,All investors are barbers and No jugglers are barbers
EI3,3,0,5,1,No writers are hikers and Some drivers are hikers
EI2,2,0,5,1,No cleaners are painters and Some auditors are cleaners
EO4,0,0,5,0,No lifeguards are dentists and Some lifeguards are not plumbers
EE1,7,0,6,0,No assistants are farmers and No farmers are scholars
EA1,0,0,7,0,No drillers are actors and All actors are nurses
OO1,2,0,4,0,Some pilots are not singers and Some singers are not tailors
EE4,4,0,6,0,No surfers are artists and No surfers are planners
OA2,3,0,4,0,Some typists are not dancers and All boxers are typists
OO3,2,0,3,0,Some engineers are not fencers and Some campers are not fencers
OE2,3,0,4,0,Some climbers are not tellers and No doctors are climbers
OE4,4,0,6,0,Some joggers are not counselors and No joggers are riders
EE2,2,0,6,0,No runners are chefs and No scientists are runners
IE3,2,0,6,0,Some hunters are lawyers and No athletes are lawyers
II2,3,0,2,0,Some mayors are cooks and Some swimmers are mayors
IA3,2,0,4,0,Some poets are waiters and All cashiers are waiters
AA2,0,0,1,1,All agents are secretaries and All brokers are agents
OA3,2,0,4,1,Some students are not buyers and All cyclists are buyers
OO2,4,0,5,0,Some workers are not actors and Some painters are not workers
OI4,3,0,5,0,Some designers are not architects and Some designers are trainers
AI4,2,1,2,1,All brewers are judges and Some brewers are porters
OO4,2,0,4,0,Some novelists are not travelers and Some novelists are not analysts
IE4,2,0,6,0,Some tutors are butchers and No tutors are packers
AA4,0,0,1,0,All editors are florists and All editors are soldiers
AE4,2,0,6,0,All therapists are climbers and No therapists are skaters
