Unnamed: 0,id_seq,sentenced,few_shot_pred
0,1_0_R,Some models are managers and All models are clerks, Some managers are clerks
1,1_1_R,No divers are carpenters and All linguists are carpenters, Some linguists are divers
2,1_2_R,All therapists are climbers and Some skaters are therapists, Some skaters are climbers
3,1_3_R,All bankers are golfers and All golfers are teachers, All bankers are teachers
6,1_6_R,All gamblers are sculptors and Some bakers are not sculptors, Some gamblers are sculptors
8,1_8_R,All investors are barbers and No jugglers are barbers, No jugglers are investors
9,1_9_R,No writers are hikers and Some drivers are hikers, Some writers are hikers
10,1_10_R,No cleaners are painters and Some auditors are cleaners, Some auditors are painters
13,1_13_R,No drillers are actors and All actors are nurses, No actors are drillers
21,1_21_R,Some hunters are lawyers and No athletes are lawyers, No hunters are lawyers
24,1_24_R,All agents are secretaries and All brokers are agents, All agents are secretaries
28,1_28_R,All brewers are judges and Some brewers are porters, Some brewers are jesters
30,1_30_R,Some tutors are butchers and No tutors are packers, No tutors are butchers
31,1_31_R,All editors are florists and All editors are soldiers, All editors are florists
32,1_32_R,All therapists are climbers and No therapists are skaters, No therapists are climbers
35,1_35_R,Some planners are artists and All artists are surfers, Some planners are artists
41,1_41_R,All sculptors are bakers and No bakers are gamblers, No sculptors are gamblers
42,1_42_R,No managers are clerks and Some clerks are models, Some managers are models
47,1_47_R,All painters are cleaners and Some painters are not auditors, Some painters are cleaners
48,1_48_R,No florists are editors and All soldiers are florists, No florists are editors
49,1_49_R,Some swimmers are mayors and No mayors are cooks, Some cooks are mayors
51,1_51_R,All tutors are butchers and No packers are tutors, Some tutors are butchers
54,1_54_R,Some sailors are chemists and No potters are sailors, Some sailors are potters
58,1_58_R,No buyers are cyclists and All buyers are students, Some buyers are students
59,1_59_R,No poets are miners and Some poets are skaters, Some poets are skaters
64,2_0_R,Some cooks are mayors and All cooks are swimmers, Some cooks are swimmers
65,2_1_R,No painters are auditors and All cleaners are auditors, Some cleaners are auditors
66,2_2_R,All scientists are runners and All runners are chefs, All scientists are chefs
67,2_3_R,All skaters are climbers and Some therapists are skaters, Some skaters are climbers
76,2_12_R,All artists are planners and All artists are surfers, All artists are planners
78,2_14_R,All brokers are agents and No agents are secretaries, No brokers are secretaries
79,2_15_R,All linguists are carpenters and No divers are carpenters, Some linguists are carpenters
81,2_17_R,All opticians are boxers and All actuaries are opticians, All opticians are boxers
85,2_21_R,No barbers are investors and Some barbers are jugglers, Some barbers are investors
89,2_25_R,Some clerks are managers and No managers are models, Some clerks are managers
90,2_26_R,No joggers are counselors and Some riders are joggers, Some riders are counselors
92,2_28_R,No bakers are sculptors and All sculptors are gamblers, All gamblers are sculptors
93,2_29_R,No designers are trainers and Some architects are trainers, Some trainers are designers
97,2_33_R,All plumbers are dentists and No plumbers are lifeguards, No plumbers are lifeguards
99,2_35_R,All doctors are tellers and Some climbers are not tellers, Some climbers are tellers
100,2_36_R,No secretaries are brokers and All agents are secretaries, All agents are brokers
104,2_40_R,No designers are architects and All designers are trainers, No trainers are architects
108,2_44_R,All workers are actors and Some workers are painters, Some workers are actors
111,2_47_R,All students are buyers and Some students are not cyclists, Some students are not buyers
117,2_53_R,All boxers are actuaries and No opticians are boxers, Some opticians are actuaries
120,2_56_R,Some chefs are runners and No scientists are runners, Some chefs are runners
121,2_57_R,No clerks are models and Some models are managers, Some managers are clerks
122,2_58_R,Some auditors are cleaners and No painters are auditors, Some painters are cleaners
123,2_59_R,Some waiters are poets and All poets are cashiers, Some waiters are poets
126,2_62_R,Some pilots are singers and No pilots are tailors, Some pilots are tailors
128,3_0_R,Some tutors are packers and All tutors are butchers, Some tutors are packers
129,3_1_R,All auditors are painters and Some cleaners are auditors, Some cleaners are painters
130,3_2_R,No dancers are typists and All boxers are typists, No boxers are typists
131,3_3_R,All workers are painters and All painters are actors, All workers are actors
132,3_4_R,No lifeguards are dentists and Some lifeguards are plumbers, Some lifeguards are dentists
136,3_8_R,All drillers are nurses and All drillers are actors, All drillers are actors
139,3_11_R,All waiters are poets and No cashiers are poets, No waiters are poets
141,3_13_R,No brokers are agents and Some secretaries are agents, Some secretaries are agents
146,3_18_R,All campers are fencers and Some campers are not engineers, Some campers are fencers
149,3_21_R,Some soldiers are editors and No florists are soldiers, Some editors are florists
151,3_23_R,Some tailors are pilots and No tailors are singers, No tailors are pilots
153,3_25_R,No farmers are assistants and All scholars are farmers, All farmers are assistants
